PMJ;S/N;gmag;Teff;e_Teff;logg;e_logg;Type;Teff(3D);e_Teff(3D);logg(3D);e_logg(3D);Mass;e_Mass
4054-55358-0860;  6;20.96; 10901;   35; 8.161; 0.161;DA                ; 10946;   35; 7.940; 0.160; 0.571; 0.0750
4973-56042-0460;  5;20.65; 10459;  160; 8.502; 0.018;DA                ; 10418;  160; 8.210; 0.020; 0.718; 0.0110
6032-56067-0756;  9;20.09; 11380;  180; 8.257; 0.093;DA                ; 11517;  180; 8.060; 0.090; 0.637; 0.0500
4055-55359-0622;  3;21.76; 11094;  329; 8.323; 0.330;DA                ; 11157;  329; 8.100; 0.330; 0.659; 0.1780
4008-55356-0894;  2;22.20; 10908;  522; 7.403; 0.770;DA                ; 10924;  522; 7.260; 0.770; 0.321; 0.2960
6050-56089-0004;  4;21.61; 12413;  464; 8.132; 0.204;DA                ; 12729;  464; 8.020; 0.200; 0.617; 0.1020
3932-55337-0876;  7;20.57; 10289;  124; 8.287; 0.128;DA                ; 10247;  124; 8.010; 0.130; 0.606; 0.0710
6051-56093-0604;  2;21.90; 11934; 1089; 8.080; 0.355;DA                ; 12128; 1089; 7.960; 0.350; 0.584; 0.1700
3927-55333-0258;  9;20.18; 10774;  108; 8.564; 0.051;DA                ; 10762;  108; 8.300; 0.050; 0.782; 0.0320
5210-56003-0406;  1;21.86; 10707;  150; 8.819; 0.438;DA                ; 10682;  150; 8.580; 0.440; 0.955; 0.2460
6042-56101-0206;  4;20.76; 10197;  194; 8.069; 0.194;DA                ; 10156;  194; 7.810; 0.190; 0.520; 0.0810
3936-55302-0689; 56;16.63; 10559;   14; 8.564; 0.012;DA                ; 10524;   14; 8.290; 0.010; 0.776; 0.0050
4726-55712-0150; 19;19.20; 14386;  295; 8.241; 0.032;DA                ; 14452;  295; 8.240; 0.030; 0.746; 0.0220
5210-56003-0232;  2;21.69; 10810;  389; 8.099; 0.130;DA                ; 10844;  389; 7.870; 0.130; 0.535; 0.0550
3946-55659-0850;  4;21.49; 10409;  249; 7.930; 0.270;DA                ; 10378;  249; 7.670; 0.270; 0.458; 0.1050
5192-56066-0458;  2;21.67; 12796; 1380; 8.392; 0.320;DA                ; 13128; 1380; 8.280; 0.320; 0.774; 0.1890
3923-55325-0624;  2;22.11; 11642; 1167; 8.010; 0.510;DA                ; 11826; 1167; 7.860; 0.510; 0.533; 0.2330
3936-55302-0974;  2;22.02; 12648; 1850; 7.684; 0.372;DA                ; 13004; 1850; 7.670; 0.370; 0.468; 0.1370
3931-55350-0078;  3;22.13; 10149;  361; 9.132; 0.260;DA                ; 10107;  361; 8.850; 0.260; 1.094; 0.1240
3930-55332-0766; 18;19.13; 11507;   91; 8.262; 0.039;DA                ; 11671;   91; 8.070; 0.040; 0.643; 0.0220
3930-55332-0764;  2;21.77; 12267; 1157; 7.778; 0.363;DA                ; 12595; 1157; 7.730; 0.360; 0.491; 0.1440
5192-56066-0868;  2;21.61; 10502;  551; 8.930; 0.460;DA                ; 10455;  551; 8.700; 0.460; 1.014; 0.2430
4071-55660-0448;  2;21.40; 11994; 1192; 7.990; 0.359;DA                ; 12188; 1192; 7.890; 0.360; 0.548; 0.1660
6052-56092-0690;  2;21.65; 10083;  355; 8.463; 0.386;DA                ; 10033;  355; 8.180; 0.390; 0.704; 0.2190
5200-56091-0208;  1;21.73; 11600; 1127; 7.930; 0.740;DA                ; 11776; 1127; 7.790; 0.740; 0.517; 0.3260
5200-56091-0846;  3;21.44; 12907; 1117; 7.620; 0.330;DA                ; 13099; 1117; 7.610; 0.330; 0.446; 0.1150
3924-55332-0110;  2;21.71; 10363;  361; 8.806; 0.345;DA                ; 10318;  361; 8.550; 0.340; 0.936; 0.1980
3929-55335-0083;  2;21.81; 11220;  559; 8.620; 0.410;DA                ; 11279;  559; 8.390; 0.410; 0.837; 0.2370
6034-56103-0816;  2;21.76; 11197;  823; 7.991; 0.490;DA                ; 11321;  823; 7.810; 0.490; 0.522; 0.2190
4069-55365-0597;  2;22.06; 12414; 2358; 7.543; 0.314;DA                ; 12832; 2358; 7.560; 0.310; 0.424; 0.0970
3929-55335-0924;  6;20.74; 10480;  157; 8.095; 0.157;DA                ; 10447;  157; 7.830; 0.160; 0.523; 0.0680
4070-55681-0609; 19;18.76; 14988;  325; 8.122; 0.033;DA                ; 14988;  325; 8.120; 0.030; 0.677; 0.0160
6044-56090-0618; 11;19.14; 10562;   50; 8.130; 0.010;DA                ; 10541;   50; 7.870; 0.010; 0.534; 0.0050
5189-56074-0614;  2;21.69; 11867;  771; 9.198; 0.340;DA                ; 11930;  771; 8.990; 0.340; 1.161; 0.1420
4074-55679-0593;  2;21.57; 11599;  922; 8.523; 0.313;DA                ; 11756;  922; 8.320; 0.310; 0.794; 0.1850
5189-56074-0638;  4;21.00; 12093;  650; 8.211; 0.170;DA                ; 12321;  650; 8.080; 0.170; 0.650; 0.0940
4956-55737-0636; 48;16.47; 14712;   97; 8.176; 0.011;DA                ; 14712;   97; 8.180; 0.010; 0.710; 0.0040
5205-56040-0284;  2;21.49; 10417;  300; 8.537; 0.334;DA                ; 10375;  300; 8.250; 0.330; 0.746; 0.1980
4727-55693-0228;  2;22.19; 13172; 2603; 8.420; 0.294;DA                ; 13576; 2603; 8.320; 0.290; 0.796; 0.1720
4057-55357-0415;  2;21.83; 10931;  413; 8.146; 0.280;DA                ; 10984;  413; 7.920; 0.280; 0.560; 0.1310
5205-56040-0188;  2;21.66; 12856; 1360; 8.118; 0.254;DA                ; 13318; 1360; 8.030; 0.250; 0.624; 0.1250
6029-56099-0445;  1;21.93; 10476;  638; 9.060; 0.490;DA                ; 10428;  638; 8.840; 0.490; 1.089; 0.2330
3928-55331-0156;  3;21.60; 11182;  448; 7.691; 0.359;DA                ; 11266;  448; 7.540; 0.360; 0.409; 0.1230
4057-55357-0662; 24;18.63; 10443;   38; 8.099; 0.038;DA                ; 10409;   38; 7.840; 0.040; 0.524; 0.0110
5189-56074-0838;  5;20.66; 12714;  665; 8.467; 0.134;DA                ; 13013;  665; 8.340; 0.130; 0.807; 0.0830
3928-55331-0972;  4;21.10; 10625;  272; 8.908; 0.192;DA                ; 10591;  272; 8.680; 0.190; 1.005; 0.1030
4074-55679-0184;  2;21.56; 10248;  328; 7.798; 0.328;DA                ; 10217;  328; 7.540; 0.330; 0.403; 0.1140
4057-55357-0200;  3;21.81; 10551;  495; 8.070; 0.370;DA                ; 10530;  495; 7.810; 0.370; 0.521; 0.1650
4067-55361-0465;  2;21.87; 10340;  106; 7.628; 0.578;DA                ; 10319;  106; 7.380; 0.580; 0.351; 0.1790
4073-55663-0734;  1;21.89; 10934;  704; 9.085; 0.490;DA                ; 10927;  704; 8.880; 0.490; 1.109; 0.2240
4073-55663-0277;  2;22.04; 11179;  583; 8.257; 0.378;DA                ; 11270;  583; 8.040; 0.380; 0.625; 0.1970
6045-56072-0394;  2;21.67; 13312; 2152; 7.910; 0.400;DA                ; 13846; 2152; 7.870; 0.400; 0.543; 0.1790
4184-55450-0618;  2;21.81; 10224;  355; 8.663; 0.412;DA                ; 10179;  355; 8.380; 0.410; 0.829; 0.2380
6035-56076-0204;  3;21.35; 11870;  954; 8.176; 0.226;DA                ; 12064;  954; 8.030; 0.230; 0.621; 0.1170
5199-56067-0041;  2;21.78; 10777;  440; 8.936; 0.405;DA                ; 10757;  440; 8.720; 0.410; 1.024; 0.2140
4073-55663-0919;  3;21.56; 10721;  406; 8.337; 0.362;DA                ; 10717;  406; 8.080; 0.360; 0.646; 0.1930
6035-56076-0230;  2;21.87; 11808;  673; 8.649; 0.429;DA                ; 11962;  673; 8.450; 0.430; 0.876; 0.2460
4184-55450-0700;  4;20.78; 10538;  233; 8.619; 0.165;DA                ; 10500;  233; 8.350; 0.170; 0.810; 0.1060
6029-56099-0932;  1;21.84; 10358;  541; 7.832; 0.533;DA                ; 10330;  541; 7.580; 0.530; 0.420; 0.1970
5191-56065-0216; 15;19.21; 11128;   79; 8.608; 0.053;DA                ; 11168;   79; 8.370; 0.050; 0.824; 0.0310
4066-55444-0630; 61;16.12; 11316;   21; 8.343; 0.009;DA                ; 11430;   21; 8.130; 0.010; 0.676; 0.0060
4184-55450-0122;  6;20.66; 11038;  210; 8.270; 0.140;DA                ; 11095;  210; 8.050; 0.140; 0.630; 0.0770
5212-56016-0998;  3;21.31; 10034;  229; 7.499; 0.379;DA                ; 10006;  229; 7.240; 0.380; 0.309; 0.1020
4066-55444-0346;  2;22.10; 12726; 1150; 8.726; 0.300;DA                ; 13000; 1150; 8.570; 0.300; 0.951; 0.1680
4064-55366-0288;  3;21.84; 10060;  308; 9.400; 0.280;DA                ; 10020;  308; 9.100; 0.280; 1.205; 0.1050
4066-55444-0734;  3;21.59; 10732;  290; 8.561; 0.286;DA                ; 10716;  290; 8.300; 0.290; 0.781; 0.1760
4066-55444-0298;  3;21.58; 11395;  630; 8.710; 0.243;DA                ; 11477;  630; 8.490; 0.240; 0.900; 0.1400
4188-55684-0754;  5;20.90; 10466;   43; 7.876; 0.223;DA                ; 10439;   43; 7.620; 0.220; 0.438; 0.0830
5202-55824-0572;  4;21.04; 10565;  241; 8.777; 0.211;DA                ; 10527;  241; 8.530; 0.210; 0.924; 0.1210
4190-55686-0532; 13;19.48; 10393;   64; 8.620; 0.061;DA                ; 10350;   64; 8.340; 0.060; 0.804; 0.0360
5201-55832-0564;  2;21.65; 10181;  410; 9.545; 0.330;DA                ; 10139;  410; 9.270; 0.330; 1.260; 0.1010
4061-55362-0166; 22;18.84; 14640;  169; 8.125; 0.032;DA                ; 14640;  169; 8.120; 0.030; 0.676; 0.0170
4188-55684-0086;  2;21.66; 10121;  325; 8.351; 0.389;DA                ; 10074;  325; 8.080; 0.390; 0.645; 0.2100
4061-55362-0054;  5;20.62; 10524;  218; 8.445; 0.124;DA                ; 10488;  218; 8.160; 0.120; 0.692; 0.0730
5193-56066-0418;  4;21.20; 11910;  507; 7.681; 0.209;DA                ; 12154;  507; 7.620; 0.210; 0.446; 0.0760
6038-56090-0354;  1;21.73; 12083; 1031; 7.880; 0.570;DA                ; 12331; 1031; 7.800; 0.570; 0.522; 0.2480
6038-56090-0770;  2;21.78; 11016;  394; 8.692; 0.388;DA                ; 11027;  394; 8.460; 0.390; 0.881; 0.2260
4186-55691-0308;  1;22.15; 12277;  937; 8.195; 0.412;DA                ; 12551;  937; 8.070; 0.410; 0.644; 0.2140
4183-55447-0750;  5;21.11; 10101;  186; 8.961; 0.169;DA                ; 10059;  186; 8.670; 0.170; 1.000; 0.0920
4186-55691-0296; 21;18.65; 14934;  311; 8.537; 0.029;DA                ; 14934;  311; 8.540; 0.030; 0.934; 0.0180
4075-55352-0062; 34;18.45; 11100;  200; 8.340; 0.030;DA                ; 11162;  200; 8.110; 0.030; 0.664; 0.0170
6027-56103-0688;  6;20.67; 10146;  134; 8.343; 0.154;DA                ; 10100;  134; 8.070; 0.150; 0.639; 0.0820
5201-55832-0872;  2;22.09; 11831;  933; 8.913; 0.350;DA                ; 11915;  933; 8.700; 0.350; 1.015; 0.1860
6027-56103-0692;  4;20.96; 10895;  330; 7.920; 0.300;DA                ; 10954;  330; 7.710; 0.300; 0.477; 0.1210
4182-55446-0454; 21;18.16; 12691;   93; 8.669; 0.027;DA                ; 12966;   93; 8.520; 0.030; 0.920; 0.0190
5193-56066-0196;  2;21.48; 10119;  428; 7.285; 0.498;DA                ; 10077;  428; 7.030; 0.500; 0.260; 0.1370
5201-55832-0916; 21;18.81; 11336;   35; 8.099; 0.036;DA                ; 11478;   35; 7.910; 0.040; 0.556; 0.0200
4065-55368-0108;  3;21.83; 10192;  287; 7.704; 0.359;DA                ; 10163;  287; 7.450; 0.360; 0.372; 0.1220
4065-55368-0860;  4;21.39; 10889;  241; 7.616; 0.302;DA                ; 10929;  241; 7.430; 0.300; 0.369; 0.0990
4186-55691-0874;  2;21.65; 11820;  660; 9.400; 0.320;DA                ; 11879;  660; 9.190; 0.320; 1.236; 0.1070
4179-55684-0468;  3;21.31; 12418;  702; 7.669; 0.236;DA                ; 12813;  702; 7.650; 0.240; 0.460; 0.0860
5196-55831-0724;  2;22.00; 11597;  777; 8.460; 0.460;DA                ; 11761;  777; 8.260; 0.460; 0.757; 0.2510
4185-55469-0604;  3;21.90; 10507;   61; 7.546; 0.341;DA                ; 10497;   61; 7.310; 0.340; 0.332; 0.0990
5193-56066-0079;  2;21.70; 11674;  837; 8.213; 0.345;DA                ; 11854;  837; 8.050; 0.340; 0.632; 0.1770
5196-55831-0744;  2;21.71; 10053;  368; 7.126; 0.492;DA                ; 10003;  368; 6.870; 0.490; 0.232; 0.1080
4179-55684-0627;  8;20.43; 11768;  303; 7.455; 0.118;DA                ; 11969;  303; 7.420; 0.120; 0.372; 0.0360
4185-55469-0638;  6;21.01; 10509;  117; 8.593; 0.162;DA                ; 10468;  117; 8.320; 0.160; 0.792; 0.1000
5196-55831-0044;  3;21.36; 10918;  360; 8.495; 0.252;DA                ; 10924;  360; 8.240; 0.250; 0.740; 0.1500
4185-55469-0963;  9;20.38; 10145;   90; 8.109; 0.112;DA                ; 10102;   90; 7.840; 0.110; 0.524; 0.0460
6037-56074-0140;  2;21.86; 11805;  935; 9.044; 0.318;DA                ; 11863;  935; 8.830; 0.320; 1.084; 0.1550
6028-56102-0764; 12;19.62; 10713;   75; 8.316; 0.031;DA                ; 10710;   75; 8.060; 0.030; 0.635; 0.0170
4180-55679-0650;  1;22.13; 10999;  508; 7.964; 0.548;DA                ; 11085;  508; 7.770; 0.550; 0.504; 0.2390
4178-55653-0232;  2;22.00; 10699;  311; 7.843; 0.353;DA                ; 10714;  311; 7.620; 0.350; 0.439; 0.1300
4175-55680-0302;  3;21.54; 11134;   45; 7.474; 0.202;DA                ; 11186;   45; 7.350; 0.200; 0.346; 0.0600
4178-55653-0097;  2;21.81; 10538;  363; 9.030; 0.417;DA                ; 10494;  363; 8.810; 0.420; 1.073; 0.2060
4992-55723-0182;  2;22.08; 11715; 1076; 8.850; 0.600;DA                ; 11806; 1076; 8.630; 0.600; 0.983; 0.3130
4177-55688-0374;  4;20.92; 11168;  292; 8.140; 0.220;DA                ; 11271;  292; 7.940; 0.220; 0.572; 0.1050
5013-55723-0838;  2;21.80; 10890;  318; 8.245; 0.443;DA                ; 10923;  318; 8.010; 0.440; 0.608; 0.2270
4992-55723-0974; 29;18.13; 10727;   20; 8.456; 0.003;DA                ; 10715;   20; 8.190; 0.000; 0.710; 0.0000
6025-56098-0204; 41;17.51; 14404;  125; 8.607; 0.013;DA                ; 14602;  125; 8.590; 0.010; 0.964; 0.0060
5013-55723-0078; 17;19.72; 10063;   47; 8.420; 0.051;DA                ; 10014;   47; 8.140; 0.050; 0.679; 0.0290
4997-55738-0316;  1;21.81; 10886;  905; 7.470; 0.760;DA                ; 10913;  905; 7.300; 0.760; 0.331; 0.3020
4174-55659-0186;  2;21.93; 10395;  473; 8.525; 0.423;DA                ; 10352;  473; 8.240; 0.420; 0.738; 0.2360
6064-56097-0314;  1;21.88; 10343;  503; 8.002; 0.541;DA                ; 10307;  503; 7.740; 0.540; 0.487; 0.2330
6062-56091-0914;  3;21.55; 10262;  331; 7.806; 0.406;DA                ; 10231;  331; 7.550; 0.410; 0.407; 0.1460
6062-56091-0158; 16;19.06; 11004;   84; 7.890; 0.060;DA                ; 11084;   84; 7.700; 0.060; 0.473; 0.0250
6064-56097-0776;  2;21.65; 10443;  401; 8.592; 0.384;DA                ; 10401;  401; 8.310; 0.380; 0.787; 0.2220
4993-55738-0992; 13;18.96; 11356;  274; 9.630; 0.290;DA                ; 11382;  274; 9.400; 0.290; 1.293; 0.0760
5003-55715-0645;  4;21.09; 10083;  197; 8.430; 0.306;DA                ; 10034;  197; 8.150; 0.310; 0.685; 0.1780
4999-55721-0042; 15;19.17; 14679;  270; 7.916; 0.004;DA                ; 14679;  270; 7.920; 0.000; 0.570; 0.0010
1858-53271-0359;  2;20.58; 10900;  323;10.000; 0.222;DA                ; 10890;  323; 9.790; 0.220; 1.384; 0.0520
1858-53271-0507;  5;19.71; 10719;   88; 8.505; 0.232;DA                ; 10703;   88; 8.230; 0.230; 0.732; 0.1390
1858-53271-0148;  5;19.75; 11570;  210; 9.146; 0.100;DA                ; 11612;  210; 8.910; 0.100; 1.124; 0.0480
1858-53271-0552;  7;19.53; 11340;  218; 8.410; 0.126;DA                ; 11453;  218; 8.190; 0.130; 0.711; 0.0780
4079-55363-0493;  6;20.96; 10525;  152; 8.435; 0.068;DA                ; 10489;  152; 8.150; 0.070; 0.686; 0.0390
5141-55746-0564;  2;22.02; 10642;  419; 8.927; 0.373;DA                ; 10609;  419; 8.700; 0.370; 1.014; 0.1970
4078-55358-0272;  3;21.72; 10427;  341; 8.404; 0.251;DA                ; 10387;  341; 8.120; 0.250; 0.668; 0.1440
4079-55363-0130;  3;21.70; 10177;  229; 8.349; 0.247;DA                ; 10131;  229; 8.070; 0.250; 0.639; 0.1350
5141-55746-0306;  3;21.85; 13474;  836; 8.380; 0.250;DA                ; 14011;  836; 8.310; 0.250; 0.791; 0.1510
5141-55746-0792;  6;21.23; 10225;  142; 8.210; 0.177;DA                ; 10183;  142; 7.940; 0.180; 0.569; 0.0860
5141-55746-0155;  9;20.86; 13030;  283; 8.319; 0.093;DA                ; 13435;  283; 8.220; 0.090; 0.729; 0.0550
5142-55825-0591;  2;22.01; 11727; 1589; 9.285; 0.366;DA                ; 11780; 1589; 9.060; 0.370; 1.190; 0.1440
5142-55825-0364;  1;22.48; 10632;  666; 8.523; 0.644;DA                ; 10606;  666; 8.250; 0.640; 0.747; 0.3380
5142-55825-0281;  1;22.31; 11909; 2386; 8.270; 0.760;DA                ; 12109; 2386; 8.120; 0.760; 0.672; 0.3710
4081-55365-0696; 25;18.72; 12762;  131; 8.846; 0.030;DA                ; 13035;  131; 8.680; 0.030; 1.006; 0.0140
4193-55476-0576; 14;20.04; 10300;   66; 8.202; 0.069;DA                ; 10260;   66; 7.930; 0.070; 0.564; 0.0360
4085-55452-0284;  3;21.59; 10770;  343; 7.420; 0.388;DA                ; 10774;  343; 7.250; 0.390; 0.317; 0.1040
4085-55452-0238;  5;20.95; 10107;  142; 8.139; 0.145;DA                ; 10062;  142; 7.870; 0.140; 0.533; 0.0620
4081-55365-0988;  5;21.04; 10736;  262; 8.453; 0.151;DA                ; 10725;  262; 8.190; 0.150; 0.710; 0.0900
5143-55828-0912;  2;22.01; 10855;  374; 8.481; 0.348;DA                ; 10855;  374; 8.220; 0.350; 0.725; 0.2070
5144-55829-0608;  2;21.75; 10239;  413; 8.814; 0.517;DA                ; 10195;  413; 8.540; 0.520; 0.929; 0.2880
4084-55447-0902;  2;21.98; 14721; 2203; 8.326; 0.307;DA                ; 14721; 2203; 8.330; 0.310; 0.803; 0.1810
5144-55829-0265;  2;22.42; 12289; 1433; 8.656; 0.388;DA                ; 12513; 1433; 8.490; 0.390; 0.901; 0.2230
4083-55441-0676;  2;21.96; 10830;  440; 9.197; 0.289;DA                ; 10813;  440; 8.990; 0.290; 1.161; 0.1240
5144-55829-0731;  2;21.87; 12895; 1874; 8.389; 0.317;DA                ; 13239; 1874; 8.280; 0.320; 0.774; 0.1880
4083-55441-0842;  4;21.46; 10165;  215; 8.878; 0.237;DA                ; 10122;  215; 8.600; 0.240; 0.967; 0.1360
5144-55829-0943;  8;20.43; 10298;  114; 7.694; 0.139;DA                ; 10273;  114; 7.440; 0.140; 0.369; 0.0450
5145-55835-0385;  2;21.82; 12006;  410; 8.845; 0.231;DA                ; 12126;  410; 8.650; 0.230; 0.992; 0.1260
4083-55441-0918;  3;21.78; 12002;  883; 7.803; 0.291;DA                ; 12243;  883; 7.730; 0.290; 0.490; 0.1160
4087-55449-0244;  2;22.12; 11082;  719; 8.810; 0.550;DA                ; 11099;  719; 8.590; 0.550; 0.961; 0.2970
5145-55835-0682;  2;22.11; 10070;  463; 9.088; 0.360;DA                ; 10030;  463; 8.790; 0.360; 1.062; 0.1810
5145-55835-0295;  2;21.96; 11477;  633; 7.066; 0.307;DA                ; 11550;  633; 7.120; 0.310; 0.286; 0.0690
4092-55477-0278;  3;21.71; 10585;  282; 7.681; 0.352;DA                ; 10581;  282; 7.450; 0.350; 0.374; 0.1190
4091-55498-0172;  4;21.69; 11008;  278; 8.296; 0.191;DA                ; 11054;  278; 8.070; 0.190; 0.641; 0.1070
4097-55506-0505;  3;21.62; 10983;  555; 8.302; 0.230;DA                ; 11024;  555; 8.070; 0.230; 0.641; 0.1280
4091-55498-0921;  3;21.71; 11936;  482; 8.227; 0.205;DA                ; 12137;  482; 8.080; 0.200; 0.649; 0.1140
4096-55501-0708; 18;18.88; 11660;   97; 8.366; 0.043;DA                ; 11835;   97; 8.180; 0.040; 0.707; 0.0220
4096-55501-0312;  4;21.07; 11317;  251; 7.465; 0.125;DA                ; 11384;  251; 7.370; 0.120; 0.354; 0.0330
4095-55497-0250;  3;21.28; 10636;  308; 7.171; 0.367;DA                ; 10574;  308; 7.010; 0.370; 0.259; 0.0770
4096-55501-0777;  6;20.75; 12660;  463; 8.040; 0.128;DA                ; 13078;  463; 7.950; 0.130; 0.581; 0.0630
5948-56107-0459; 39;17.56; 13101;   90; 8.563; 0.015;DA                ; 13431;   90; 8.450; 0.010; 0.878; 0.0060
4096-55501-0238;  2;22.03; 11804;  383; 7.357; 0.096;DA                ; 12002;  383; 7.340; 0.100; 0.348; 0.0260
5948-56107-0400;  1;22.20; 11191; 3107; 5.934; 0.950;DA                ; 11187; 3107; 5.990; 0.950; 0.175; 0.0520
4090-55500-0074;  3;21.56; 11888; 1161; 7.818; 0.255;DA                ; 12105; 1161; 7.730; 0.260; 0.490; 0.1020
5147-55854-0872;  2;21.95; 10485;  532; 9.309; 0.329;DA                ; 10437;  532; 9.090; 0.330; 1.201; 0.1260
5948-56107-0760;  4;21.20; 10714;  221; 8.608; 0.212;DA                ; 10695;  221; 8.350; 0.210; 0.810; 0.1310
5951-56102-0518;  2;21.58; 10589;  527; 8.584; 0.306;DA                ; 10557;  527; 8.310; 0.310; 0.787; 0.1880
5948-56107-0138;  2;21.95; 10698;  403; 9.233; 0.327;DA                ; 10669;  403; 9.020; 0.330; 1.173; 0.1360
5067-55751-0370; 20;19.17; 14049;  137; 8.063; 0.040;DA                ; 14118;  137; 8.060; 0.040; 0.642; 0.0220
5948-56107-0886;  2;21.78; 10818;  307; 8.448; 0.384;DA                ; 10818;  307; 8.190; 0.380; 0.710; 0.2140
4317-55480-0752;  3;21.51; 10239;  250; 8.302; 0.276;DA                ; 10196;  250; 8.030; 0.280; 0.617; 0.1470
5966-56101-0069;  2;21.82; 11152;  423; 6.869; 0.229;DA                ; 11137;  423; 6.920; 0.230; 0.247; 0.0420
4316-55505-0754;  1;22.12; 10957; 2496; 7.058; 0.133;DA                ; 10909; 2496; 7.060; 0.130; 0.270; 0.0160
5028-55836-0846;  7;20.74; 13045;  140; 8.486; 0.082;DA                ; 13363;  140; 8.370; 0.080; 0.826; 0.0490
5947-56093-0532;  1;21.84; 10162; 1385; 5.965; 0.632;DA                ; 10091; 1385; 5.720; 0.630; 0.163; 0.0100
4317-55480-0934;  2;21.72; 11156;  516; 9.346; 0.319;DA                ; 11167;  516; 9.130; 0.320; 1.216; 0.1150
5021-55863-0124;  9;20.41; 10531;   20; 7.988; 0.010;DA                ; 10508;   20; 7.740; 0.010; 0.488; 0.0040
5947-56093-0596; 14;19.60; 11460;  109; 8.676; 0.054;DA                ; 11561;  109; 8.450; 0.050; 0.876; 0.0310
4377-55828-0186;  6;21.02; 10086;  100; 7.650; 0.050;DA                ; 10055;  100; 7.390; 0.050; 0.352; 0.0500
5035-55829-0846;  4;21.26; 14287; 1209; 7.990; 0.168;DA                ; 14287; 1209; 7.990; 0.170; 0.605; 0.0860
5064-55864-0230; 10;20.17; 10713;  100; 8.496; 0.011;DA                ; 10696;  100; 8.220; 0.010; 0.724; 0.0060
5947-56093-0699; 43;17.56; 11666;   41; 8.415; 0.015;DA                ; 11841;   41; 8.220; 0.010; 0.727; 0.0070
4318-55508-0414;  2;22.02; 12341; 2539; 8.296; 0.248;DA                ; 12623; 2539; 8.170; 0.250; 0.703; 0.1410
4318-55508-0303;  3;21.35; 10641;  275; 8.055; 0.233;DA                ; 10641;  275; 7.810; 0.230; 0.521; 0.1000
5947-56093-0857;  3;21.65; 14500; 2716; 8.409; 0.247;DA                ; 14500; 2716; 8.410; 0.250; 0.853; 0.1460
5047-55833-0517;  5;20.73; 10627;  189; 8.850; 0.168;DA                ; 10594;  189; 8.620; 0.170; 0.978; 0.0940
4321-55504-0680;  3;21.54; 10234;  340; 9.205; 0.283;DA                ; 10191;  340; 8.940; 0.280; 1.138; 0.1250
5041-55749-0158; 44;17.39; 10905;   12; 8.651; 0.017;DA                ; 10905;   12; 8.410; 0.020; 0.849; 0.0120
5036-55751-0370;  3;21.41; 10192;  100; 7.640; 0.050;DA                ; 10165;  100; 7.390; 0.050; 0.353; 0.0500
4319-55507-0693;  2;21.93; 10110;  313; 8.061; 0.344;DA                ; 10066;  313; 7.800; 0.340; 0.515; 0.1510
5946-56101-0360; 24;18.22; 13593;  197; 8.182; 0.025;DA                ; 14142;  197; 8.140; 0.030; 0.687; 0.0170
5956-56104-0610;  2;21.68; 13202; 2313; 8.427; 0.265;DA                ; 13614; 2313; 8.330; 0.270; 0.802; 0.1610
5036-55751-0892; 13;19.57; 11605;  120; 8.368; 0.006;DA                ; 11774;  120; 8.180; 0.010; 0.707; 0.0050
4322-55503-0584;  5;20.87; 10754;  204; 7.548; 0.099;DA                ; 10774;  204; 7.350; 0.100; 0.344; 0.0270
5946-56101-0818;  7;20.48; 12063;  402; 8.221; 0.107;DA                ; 12284;  402; 8.090; 0.110; 0.655; 0.0600
4319-55507-0836;  2;21.95; 11451;  514; 8.650; 0.397;DA                ; 11555;  514; 8.430; 0.400; 0.862; 0.2310
5042-55856-0314;  5;21.31; 12203;  458; 8.120; 0.137;DA                ; 12460;  458; 8.010; 0.140; 0.612; 0.0740
5946-56101-0074;  2;21.80; 11426;  417; 8.478; 0.335;DA                ; 11556;  417; 8.260; 0.340; 0.756; 0.2020
5037-55823-0248; 25;18.83; 11103;   50; 8.305; 0.003;DA                ; 11170;   50; 8.080; 0.000; 0.647; 0.0000
5956-56104-0918;  3;21.64; 11313;  587; 9.022; 0.297;DA                ; 11336;  587; 8.800; 0.300; 1.068; 0.1490
4323-55884-0804;  7;20.67; 10114;  120; 8.205; 0.014;DA                ; 10069;  120; 7.940; 0.010; 0.569; 0.0050
5025-55836-0796;  4;20.89; 10137;  178; 7.990; 0.203;DA                ; 10095;  178; 7.730; 0.200; 0.482; 0.0810
3128-54776-0392; 37;18.69; 13342;  174; 5.240; 0.045;DA                ; 13342;  174; 5.240; 0.040; 0.176; 0.0500
4363-55537-0514;  2;21.89; 11200;  473; 8.706; 0.344;DA                ; 11246;  473; 8.480; 0.340; 0.893; 0.1980
4295-55858-0352;  7;20.94; 10131;  110; 8.429; 0.013;DA                ; 10083;  110; 8.150; 0.010; 0.685; 0.0060
4292-55532-0430;  4;21.45; 12377;  703; 8.738; 0.169;DA                ; 12600;  703; 8.570; 0.170; 0.951; 0.0950
5026-55855-0320;  5;21.19; 10681;  105; 8.350; 0.186;DA                ; 10670;  105; 8.090; 0.190; 0.652; 0.1110
4363-55537-0208;  3;21.46; 10642;  273; 7.953; 0.280;DA                ; 10645;  273; 7.710; 0.280; 0.475; 0.1130
4206-55471-0757; 11;20.30; 10900;   62; 8.702; 0.084;DA                ; 10898;   62; 8.460; 0.080; 0.881; 0.0500
4290-55527-0396;  5;20.67; 10753;  195; 8.470; 0.170;DA                ; 10743;  195; 8.200; 0.170; 0.714; 0.1020
