PMJ;S/N;gmag;Teff;e_Teff;logg;e_logg;Type;Teff(3D);e_Teff(3D);logg(3D);e_logg(3D);Mass;e_Mass
5858-56063-0272;  3;21.18; 11133;  433; 9.132; 0.255;DA                ; 11142;  433; 8.920; 0.260; 1.129; 0.1180
4044-55359-0870;  2;21.78; 10238;  359; 7.779; 0.482;DA                ; 10208;  359; 7.520; 0.480; 0.396; 0.1680
6001-56072-0276;  6;20.49; 13865;  469; 7.985; 0.072;DA                ; 14047;  469; 7.980; 0.070; 0.599; 0.0360
5442-55978-0218; 16;19.23; 13876;  231; 8.146; 0.048;DA                ; 14167;  231; 8.120; 0.050; 0.675; 0.0280
5446-56014-0534;  2;21.87; 11308;  545; 7.738; 0.326;DA                ; 11414;  545; 7.600; 0.330; 0.434; 0.1180
5444-56038-0864;  2;21.17; 11973;  719; 7.696; 0.124;DA                ; 12233;  719; 7.640; 0.120; 0.454; 0.0460
6005-56090-0734;  3;21.30; 12321; 1462; 7.386; 0.255;DA                ; 12644; 1462; 7.400; 0.260; 0.369; 0.0770
5444-56038-0920;  3;21.34; 10326;  345; 7.960; 0.340;DA                ; 10291;  345; 7.700; 0.340; 0.470; 0.1380
4710-55707-0864; 40;16.72; 11719;   42; 8.113; 0.014;DA                ; 11904;   42; 7.960; 0.010; 0.584; 0.0050
4041-55361-0864;  3;21.58; 11995;  730; 8.588; 0.249;DA                ; 12191;  730; 8.400; 0.250; 0.844; 0.1500
5448-56013-0279;  2;21.85; 10380;  476; 7.210; 0.430;DA                ; 10318;  476; 6.980; 0.430; 0.253; 0.1050
3854-55247-0670;  3;21.84; 10473;  267; 8.265; 0.270;DA                ; 10437;  267; 7.990; 0.270; 0.596; 0.1370
6004-56066-0784;  3;21.58; 10268;  169; 7.879; 0.331;DA                ; 10235;  169; 7.620; 0.330; 0.437; 0.1240
6008-56093-0396;  3;21.05; 11258;  493; 8.560; 0.181;DA                ; 11333;  493; 8.330; 0.180; 0.799; 0.1110
5894-56039-0394;  2;21.06; 10728;  369; 8.856; 0.339;DA                ; 10705;  369; 8.630; 0.340; 0.983; 0.1870
3854-55247-0846; 13;20.03; 10994;   92; 8.279; 0.060;DA                ; 11040;   92; 8.050; 0.060; 0.630; 0.0330
5451-56010-0690;  3;21.32; 10102;  241; 8.675; 0.244;DA                ; 10055;  241; 8.390; 0.240; 0.835; 0.1480
4038-55363-0260;  7;20.44; 10398;   48; 7.500; 0.146;DA                ; 10385;   48; 7.260; 0.150; 0.318; 0.0410
5452-55957-0392;  2;21.60; 10194; 1761; 6.381; 0.455;DA                ; 10119; 1761; 6.140; 0.460; 0.173; 0.0080
3862-55276-0834;  2;21.48; 10704;  326; 7.972; 0.275;DA                ; 10722;  326; 7.740; 0.280; 0.489; 0.1160
6011-56103-0626;  2;21.72; 11290;  992; 8.573; 0.316;DA                ; 11371;  992; 8.350; 0.320; 0.811; 0.1890
6055-56102-0316;  3;20.42; 10814;  265; 8.054; 0.221;DA                ; 10853;  265; 7.830; 0.220; 0.523; 0.0960
5455-56009-0470;  4;21.14; 10113;  199; 8.369; 0.169;DA                ; 10065;  199; 8.090; 0.170; 0.651; 0.0970
3855-55268-0282;  5;21.27; 10549;  209; 6.966; 0.258;DA                ; 10443;  209; 6.790; 0.260; 0.219; 0.0460
5896-56047-0270;  2;21.64; 10134;  336; 7.262; 0.394;DA                ; 10090;  336; 7.010; 0.390; 0.257; 0.0800
5169-56045-0798;  3;21.57; 10425;  326; 8.318; 0.307;DA                ; 10386;  326; 8.040; 0.310; 0.623; 0.1630
6011-56103-0142;  2;21.46; 11263;  315; 9.000; 0.278;DA                ; 11282;  315; 8.780; 0.280; 1.058; 0.1420
5455-56009-0714;  6;20.90; 10111;  136; 7.907; 0.159;DA                ; 10072;  136; 7.650; 0.160; 0.449; 0.0670
5454-56015-0144;  2;21.59; 11117;  339; 8.078; 0.256;DA                ; 11217;  339; 7.880; 0.260; 0.541; 0.1190
5454-56015-0896;  2;21.97; 12578; 1182; 8.075; 0.335;DA                ; 12956; 1182; 7.980; 0.340; 0.597; 0.1660
6012-56101-0506;  2;21.62; 10715;  474; 8.238; 0.570;DA                ; 10718;  474; 7.990; 0.570; 0.597; 0.2870
5458-56011-0468;  4;20.75; 10236;  196; 7.837; 0.195;DA                ; 10203;  196; 7.580; 0.200; 0.420; 0.0770
3855-55268-0964; 18;19.40; 10050;   46; 8.250; 0.047;DA                ; 10002;   46; 7.980; 0.050; 0.589; 0.0270
4034-55635-0992; 51;16.00; 14410;   87; 8.347; 0.011;DA                ; 14485;   87; 8.340; 0.010; 0.809; 0.0060
3863-55280-0280;  2;21.98; 13244; 1912; 8.111; 0.274;DA                ; 13826; 1912; 8.050; 0.270; 0.636; 0.1360
6012-56101-0680;  2;21.65; 10712;  593; 8.636; 0.419;DA                ; 10692;  593; 8.380; 0.420; 0.830; 0.2430
6059-56093-0213;  4;21.27; 10746;  305; 9.181; 0.182;DA                ; 10721;  305; 8.970; 0.180; 1.151; 0.0800
3859-55246-0664;  3;21.83; 10868;  326; 8.209; 0.344;DA                ; 10901;  326; 7.980; 0.340; 0.592; 0.1710
5458-56011-0836;  6;20.84; 10452;  156; 7.812; 0.162;DA                ; 10428;  156; 7.560; 0.160; 0.412; 0.0600
4781-55653-0508; 16;18.96; 10903;   63; 8.678; 0.027;DA                ; 10902;   63; 8.440; 0.030; 0.868; 0.0190
5461-56018-0416;  3;21.59; 10166;  244; 8.409; 0.262;DA                ; 10119;  244; 8.130; 0.260; 0.674; 0.1510
5461-56018-0624;  7;20.48; 10982;   60; 8.712; 0.114;DA                ; 10988;   60; 8.480; 0.110; 0.893; 0.0690
4861-55710-0880;  3;21.32; 12122;  559; 7.792; 0.264;DA                ; 12403;  559; 7.730; 0.260; 0.491; 0.1040
5897-56042-0334;  3;21.09; 10535;  236; 8.316; 0.214;DA                ; 10504;  236; 8.040; 0.210; 0.623; 0.1110
4032-55333-0084; 21;18.75; 10471;   44; 8.308; 0.055;DA                ; 10434;   44; 8.030; 0.060; 0.618; 0.0330
4032-55333-0938;  5;20.95; 11094;  352; 7.995; 0.165;DA                ; 11200;  352; 7.800; 0.170; 0.519; 0.0690
5464-56035-0342;  2;21.70; 12013; 1606; 7.377; 0.320;DA                ; 12293; 1606; 7.380; 0.320; 0.362; 0.0980
6056-56092-0050;  3;21.13; 10535;  326; 8.113; 0.273;DA                ; 10509;  326; 7.850; 0.270; 0.525; 0.1230
5900-56043-0626;  1;21.91; 11063;  562; 8.816; 0.511;DA                ; 11077;  562; 8.590; 0.510; 0.961; 0.2780
6057-56099-0462;  5;20.65; 10305;  120; 7.915; 0.181;DA                ; 10272;  120; 7.660; 0.180; 0.454; 0.0710
4029-55618-0330;  2;21.75; 10106;  344; 9.509; 0.284;DA                ; 10065;  344; 9.220; 0.280; 1.245; 0.0890
5466-56033-0440; 23;18.69; 14860;  159; 8.005; 0.026;DA                ; 14860;  159; 8.010; 0.030; 0.617; 0.0160
5171-56038-0610;  2;21.84; 10691;  200; 8.453; 0.419;DA                ; 10675;  200; 8.180; 0.420; 0.705; 0.2340
6017-56075-0444;  6;20.70; 10638;   50; 7.774; 0.139;DA                ; 10642;   50; 7.540; 0.140; 0.406; 0.0520
6057-56099-0426;  3;20.96; 10209;  238; 8.712; 0.248;DA                ; 10164;  238; 8.430; 0.250; 0.861; 0.1500
5466-56033-0344;  3;21.32; 10047;  256; 8.659; 0.279;DA                ; 10000;  256; 8.370; 0.280; 0.822; 0.1700
5464-56035-0869;  9;20.14; 10886;  136; 7.880; 0.110;DA                ; 10941;  136; 7.680; 0.110; 0.464; 0.0460
6017-56075-0403;  6;20.61; 10833;  138; 8.246; 0.050;DA                ; 10856;  138; 8.010; 0.050; 0.608; 0.0270
4781-55653-0996;  3;21.52; 11182;  334; 8.035; 0.291;DA                ; 11300;  334; 7.840; 0.290; 0.524; 0.1300
5900-56043-0806;  2;21.93; 11776;  687; 8.439; 0.408;DA                ; 11965;  687; 8.250; 0.410; 0.749; 0.2350
3873-55277-0306;  8;20.24; 10646;  101; 8.442; 0.087;DA                ; 10625;  101; 8.170; 0.090; 0.699; 0.0540
5464-56035-0944;  2;21.91; 11481;  939; 8.476; 0.406;DA                ; 11626;  939; 8.260; 0.410; 0.756; 0.2350
5171-56038-0289;  3;21.56; 10313;  249; 7.865; 0.307;DA                ; 10282;  249; 7.610; 0.310; 0.433; 0.1140
5468-56014-0466;  2;21.89; 10167;  480; 8.470; 0.490;DA                ; 10119;  480; 8.190; 0.490; 0.709; 0.2670
6017-56075-0240; 22;18.76; 11101;   16; 9.101; 0.034;DA                ; 11108;   16; 8.890; 0.030; 1.114; 0.0140
